,x,bed,thickness
0,0.0,228.7137521437365,2924.31640656
1,14.552672783189337,228.84326109277248,2924.28921904
2,29.80712583460263,228.97310076700975,2924.2628128
3,44.30379717188771,229.10326574311188,2924.2364065600004
4,58.91302640429058,229.2337505364903,2924.2092190400003
5,74.16822827956639,229.3645496012124,2924.1828127999997
6,88.66288275044644,229.4956573314407,2924.1292190399995
7,103.27286883749184,229.62706806493097,2924.1028128
8,117.8242864443746,229.7587760867278,2924.04921904
9,133.07924626747263,229.89077563167191,2923.99640656
10,147.6322829805431,230.02306088646782,2923.96921904
11,162.24203894608945,230.15562599250157,2923.9164065600003
12,176.8517593350698,230.28846504969374,2923.8628128
13,192.04889384988928,230.42157211991037,2923.80921904
14,206.65849730488844,230.55494122860856,2923.7564065600004
15,221.26806517198565,230.68856636617406,2923.7028128
16,235.81984610672225,230.82244149038144,2923.6228128
17,251.13203243608586,230.9565605291102,2923.56921904
18,265.68473051607725,231.09091738266778,2923.48921904
19,280.2363575353811,231.2255059262706,2923.4364065600003
20,295.5484672474704,231.36032001261137,2923.59640656
21,310.04234810359776,231.49535347448773,2923.7828128
22,324.65153312849,231.6306001282775,2923.9428128000004
23,339.2030524555739,231.76605377710825,2924.1028128
24,354.5149220626481,231.9017082117196,2924.28921904
25,369.0103470207396,232.0375572094759,2924.2092190400003
26,383.61938468886365,232.17359453280716,2924.1292190399995
27,398.22830372863973,232.30981392798725,2924.04921904
28,413.48221823983476,232.44620912480667,2923.96921904
29,428.09197215770837,232.58277383635118,2923.8892190399997
30,442.58538947461057,232.71950175769828,2923.80921904
31,457.1950294126291,232.85638656418706,2923.48921904
32,472.50728726942907,232.99342191151004,2923.1692190399995
33,487.1159429919353,233.13060143763374,2922.8228128
34,501.6677961032401,233.2679187641656,2922.5028128000004
35,516.2185781103326,233.40536749644792,2922.1828128
36,531.5297691828746,233.54294122325325,2922.1028128
37,546.1391462965403,233.68063351647902,2922.0228128000003
38,560.6898577312386,233.81843793083655,2921.91640656
39,576.0026674395049,233.95634800352823,2921.8364065600003
40,590.4964504065429,234.09435725392945,2921.7564065599995
41,605.046924165872,234.232459183291,2921.64921904
42,619.5983954317635,234.3706472744469,2921.56921904
43,634.7947348816379,234.50891499154466,2921.2228128
44,649.3459632161539,234.64725577979422,2920.9028128
45,663.8963279482414,234.78566306494017,2920.55640656
46,679.0925046120246,234.9241302523925,2920.47640656
47,693.6444459759368,235.06265072693017,2920.3692190399997
48,708.8982239885518,235.2012178533833,2920.0228127999994
49,723.3339375981159,235.33982497694262,2919.7028127999997
50,737.8848548691312,235.4784654222002,2919.59640656
51,753.0807458633062,235.61713249195307,2919.48921904
52,767.6316691979737,235.75581946693424,2919.4092190399997
53,782.1824311606179,235.89451960623882,2919.3028127999996
54,797.3789860821562,236.0332261474942,2919.4628128
55,811.9297540916596,236.1719323063554,2919.59640656
56,826.4803607156209,236.31063127558406,2919.75640656
57,841.6759260293329,236.4493162243449,2919.6764065600005
58,856.2264971792029,236.58798029840943,2919.56921904
59,870.8347186125029,236.7266166216118,2919.72921904
60,885.385092017139,236.8652182981906,2919.8628128
61,900.5813227407052,237.00377841460735,2919.7828127999996
62,915.1325704090268,237.14229003924538,2919.6764065600005
63,929.74056036619,237.28074621987187,2919.56921904
64,944.9933662203985,237.41913998072005,2919.48921904
65,959.4858600881853,237.55746432101077,2919.3828128000005
66,974.0369574809156,237.69571221492953,2919.03640656
67,989.2895601099153,237.8338766123069,2918.71640656
68,1003.7820218816778,237.97195043888706,2918.60921904
69,1018.3337075002055,238.10992659532297,2918.2628128
70,1033.5284983733727,238.24779795570655,2917.9164065600003
71,1048.0216297264851,238.38555736655996,2917.5692190399996
72,1062.571505909873,238.5231976460874,2917.24921904
73,1077.8237848477584,238.66071158342697,2916.9028128
74,1092.259066364335,238.79809193801182,2916.5564065599997
75,1106.809613222722,238.93533143891742,2916.2364065600004
76,1122.0040778856637,239.07242278364146,2915.88921904
77,1136.4976800729783,239.20935863665574,2915.7828127999996
78,1151.7507089747378,239.34613162866987,2915.9428128
79,1166.184719030789,239.48273435618307,2915.83640656
80,1180.7351152408373,239.61915938078477,2915.99640656
81,1195.8725910710782,239.75539922876942,2916.15640656
82,1210.4227435639332,239.8914463909557,2916.28921904
83,1225.6167991513648,240.02729332199206,2916.44921904
84,1240.0516058754147,240.16293243932805,2916.5828128
85,1254.5447728971048,240.29835612222294,2916.7428128
86,1269.681877607989,240.43355671065396,2916.9028128
87,1284.1741392196418,240.5685265040801,2917.0364065599997
88,1299.3112032780919,240.70325776017395,2917.1964065600005
89,1313.803344629836,240.83774269396494,2917.11640656
90,1328.9403265100118,240.971973478089,2917.0092190399996
91,1343.4323475930578,241.10594224324737,2916.92921904
92,1357.810710508158,241.23964107629817,2916.84921904
93,1372.9474031185237,241.37306201566733,2916.7428128
94,1387.4392650499794,241.50619704763912,2916.6628128
95,1402.5182173821522,241.63903810578168,2916.5828128
96,1417.0100000906823,241.7715770714349,2916.5028128
97,1432.1465697504318,241.9038057733651,2916.4228128
98,1446.58152435573,242.035715987012,2916.3428128
99,1461.7178871493816,242.16729943377106,2916.2628127999997
100,1476.0940682789806,242.29854778027743,2916.1828128
101,1491.2888764193776,242.42945263769158,2916.1028128
102,1505.6658870234533,242.56000556098684,2916.0492190399996
103,1520.8598282334133,242.69019804823893,2915.96921904
104,1535.2367170788784,242.8200215399171,2915.88921904
105,1550.4304934227694,242.9494674183438,2915.83640656
106,1564.8072605024645,243.07852700831577,2915.7828127999996
