,x,bed,thickness
0,0.0,218.6383619415164,2924.31640656
1,14.552672783189337,218.87816174830994,2924.28921904
2,29.80712583460263,219.12012198689817,2924.2628128
3,44.30379717188771,219.36400475254447,2924.2364065600004
4,58.91302640429058,219.60956728212085,2924.2092190400003
5,74.16822827956639,219.85656151101358,2924.1828127999997
6,88.66288275044644,220.10473458285264,2924.1292190399995
7,103.27286883749184,220.35383064304276,2924.1028128
8,117.8242864443746,220.60359275288639,2924.04921904
9,133.07924626747263,220.85376405848024,2923.99640656
10,147.6322829805431,221.10408868344103,2923.96921904
11,162.24203894608945,221.35431309021556,2923.9164065600003
12,176.8517593350698,221.604188089404,2923.8628128
13,192.04889384988928,221.853470573717,2923.80921904
14,206.65849730488844,222.10192415030977,2923.7564065600004
15,221.26806517198565,222.3493195830943,2923.7028128
16,235.81984610672225,222.595435941027,2923.6228128
17,251.13203243608586,222.8400619108321,2923.56921904
18,265.68473051607725,223.0829968689848,2923.48921904
19,280.2363575353811,223.32405205845967,2923.4364065600003
20,295.5484672474704,223.56305182596859,2923.59640656
21,310.04234810359776,223.79983490467845,2923.7828128
22,324.65153312849,224.03425623406432,2923.9428128000004
23,339.2030524555739,224.26618859689597,2924.1028128
24,354.5149220626481,224.4955228219936,2924.28921904
25,369.0103470207396,224.72216683942654,2924.2092190400003
26,383.61938468886365,224.9460443877118,2924.1292190399995
27,398.22830372863973,225.16709394150126,2924.04921904
28,413.48221823983476,225.38526820891965,2923.96921904
29,428.09197215770837,225.60053370518256,2923.8892190399997
30,442.58538947461057,225.81286965983205,2923.80921904
31,457.1950294126291,226.0222666676082,2923.48921904
32,472.50728726942907,226.22872648917652,2923.1692190399995
33,487.1159429919353,226.43226300605338,2922.8228128
34,501.6677961032401,226.6329028396969,2922.5028128000004
35,516.2185781103326,226.8306851849632,2922.1828128
36,531.5297691828746,227.0256614044632,2922.1028128
37,546.1391462965403,227.21789463279833,2922.0228128000003
38,560.6898577312386,227.4074593869874,2921.91640656
39,576.0026674395049,227.5944411793563,2921.8364065600003
40,590.4964504065429,227.7789361426508,2921.7564065599995
41,605.046924165872,227.961050677294,2921.64921904
42,619.5983954317635,228.14090111058292,2921.56921904
43,634.7947348816379,228.31861337840448,2921.2228128
44,649.3459632161539,228.4943227265569,2920.9028128
45,663.8963279482414,228.6681732465869,2920.55640656
46,679.0925046120246,228.84031720497237,2920.47640656
47,693.6444459759368,229.01091473725054,2920.3692190399997
48,708.8982239885518,229.1801341599959,2920.0228127999994
49,723.3339375981159,229.3481520551017,2919.7028127999997
50,737.8848548691312,229.51515256557545,2919.59640656
51,753.0807458633062,229.68132654714046,2919.48921904
52,767.6316691979737,229.84687130345597,2919.4092190399997
53,782.1824311606179,230.01199075883306,2919.3028127999996
54,797.3789860821562,230.1768954731454,2919.4628128
55,811.9297540916596,230.34180223620228,2919.59640656
56,826.4803607156209,230.5069334023914,2919.75640656
57,841.6759260293329,230.67251636143138,2919.6764065600005
58,856.2264971792029,230.8387835756004,2919.56921904
59,870.8347186125029,231.0059733984943,2919.72921904
60,885.385092017139,231.17433144530403,2919.8628128
61,900.5813227407052,231.34411163279566,2919.7828127999996
62,915.1325704090268,231.51557588945863,2919.6764065600005
63,929.74056036619,231.68899246189264,2919.56921904
64,944.9933662203985,231.8646339778927,2919.48921904
65,959.4858600881853,232.04277640253633,2919.3828128000005
66,974.0369574809156,232.22369889702435,2919.03640656
67,989.2895601099153,232.4076841085007,2918.71640656
68,1003.7820218816778,232.59501819263156,2918.60921904
69,1018.3337075002055,232.78599002911653,2918.2628128
70,1033.5284983733727,232.9808901348101,2917.9164065600003
71,1048.0216297264851,233.1800098525232,2917.5692190399996
72,1062.571505909873,233.38364068887037,2917.24921904
73,1077.8237848477584,233.59207363779137,2916.9028128
74,1092.259066364335,233.80559855632507,2916.5564065599997
75,1106.809613222722,234.02450351526386,2916.2364065600004
76,1122.0040778856637,234.2490737770591,2915.88921904
77,1136.4976800729783,234.4795906125112,2915.7828127999996
78,1151.7507089747378,234.71633054288057,2915.9428128
79,1166.184719030789,234.95956474137503,2915.83640656
80,1180.7351152408373,235.20955825591068,2915.99640656
81,1195.8725910710782,235.4665694057698,2916.15640656
82,1210.4227435639332,235.73084928263074,2916.28921904
83,1225.6167991513648,236.00264090567262,2916.44921904
84,1240.0516058754147,236.2821781426902,2916.5828128
85,1254.5447728971048,236.56968462806788,2916.7428128
86,1269.681877607989,236.86537259115298,2916.9028128
87,1284.1741392196418,237.1694415665562,2917.0364065599997
88,1299.3112032780919,237.48207705581223,2917.1964065600005
89,1313.803344629836,237.80344941728157,2917.11640656
90,1328.9403265100118,238.13371341796991,2917.0092190399996
91,1343.4323475930578,238.47300788567276,2916.92921904
92,1357.810710508158,238.82145384988758,2916.84921904
93,1372.9474031185237,239.1791509744948,2916.7428128
94,1387.4392650499794,239.54617450894992,2916.6628128
95,1402.5182173821522,239.92257416738235,2916.5828128
96,1417.0100000906823,240.30837363959856,2916.5028128
97,1432.1465697504318,240.7035695482065,2916.4228128
98,1446.58152435573,241.1081301180003,2916.3428128
99,1461.7178871493816,241.52199383437986,2916.2628127999997
100,1476.0940682789806,241.94506807002898,2916.1828128
101,1491.2888764193776,242.37722768006373,2916.1028128
102,1505.6658870234533,242.81831356596734,2916.0492190399996
103,1520.8598282334133,243.2681312087394,2915.96921904
104,1535.2367170788784,243.72644917180153,2915.88921904
105,1550.4304934227694,244.19299767835656,2915.83640656
106,1564.8072605024645,244.66746788500933,2915.7828127999996
