,x,bed,thickness
0,0.0,216.7109376000002,2924.31640656
1,14.552672783189337,218.0756255999999,2924.28921904
2,29.80712583460263,217.48437519999976,2924.2628128
3,44.30379717188771,217.8709376000002,2924.2364065600004
4,58.91302640429058,217.63625040000014,2924.2092190400003
5,74.16822827956639,219.06781279999998,2924.1828127999997
6,88.66288275044644,220.12406239999981,2924.1292190399995
7,103.27286883749184,220.26468799999975,2924.1028128
8,117.8242864443746,220.86312559999993,2924.04921904
9,133.07924626747263,221.46156239999982,2923.99640656
10,147.6322829805431,222.06,2923.96921904
11,162.24203894608945,223.9578128,2923.9164065600003
12,176.8517593350698,223.2568751999998,2923.8628128
13,192.04889384988928,223.85531279999995,2923.80921904
14,206.65849730488844,224.45375040000013,2923.7564065600004
15,221.26806517198565,225.44656239999983,2923.7028128
16,235.81984610672225,225.57718799999975,2923.6228128
17,251.13203243608586,226.24906239999984,2923.56921904
18,265.68473051607725,227.1965623999998,2923.48921904
19,280.2363575353811,227.31843760000018,2923.4364065600003
20,295.5484672474704,228.0443751999998,2923.59640656
21,310.04234810359776,229.84843760000018,2923.7828128
22,324.65153312849,229.24125040000015,2923.9428128000004
23,339.2030524555739,229.3225,2924.1028128
24,354.5149220626481,229.40375040000012,2924.28921904
25,369.0103470207396,228.47312559999992,2924.2092190400003
26,383.61938468886365,229.56593760000018,2924.1292190399995
27,398.22830372863973,228.9440623999998,2924.04921904
28,413.48221823983476,229.72843760000018,2923.96921904
29,428.09197215770837,228.4084376000002,2923.8892190399997
30,442.58538947461057,228.71718799999974,2923.80921904
31,457.1950294126291,229.97218799999973,2923.48921904
32,472.50728726942907,230.0534376000002,2923.1692190399995
33,487.1159429919353,230.1343751999998,2922.8228128
34,501.6677961032401,230.21562559999992,2922.5028128000004
35,516.2185781103326,230.2968751999998,2922.1828128
36,531.5297691828746,230.37812559999992,2922.1028128
37,546.1391462965403,230.45937519999978,2922.0228128000003
38,560.6898577312386,230.52468799999974,2921.91640656
39,576.0026674395049,230.62156239999982,2921.8364065600003
40,590.4964504065429,230.70281279999998,2921.7564065599995
41,605.046924165872,230.7840623999998,2921.64921904
42,619.5983954317635,230.86531279999994,2921.56921904
43,634.7947348816379,231.0456255999999,2921.2228128
44,649.3459632161539,230.90156239999982,2920.9028128
45,663.8963279482414,230.64656239999985,2920.55640656
46,679.0925046120246,231.37937519999977,2920.47640656
47,693.6444459759368,231.71531279999996,2920.3692190399997
48,708.8982239885518,231.36468799999975,2920.0228127999994
49,723.3339375981159,231.20343760000017,2919.7028127999997
50,737.8848548691312,231.26562559999994,2919.59640656
51,753.0807458633062,231.74218799999974,2919.48921904
52,767.6316691979737,231.8840623999998,2919.4092190399997
53,782.1824311606179,231.84406239999984,2919.3028127999996
54,797.3789860821562,231.905,2919.4628128
55,811.9297540916596,231.58906239999982,2919.59640656
56,826.4803607156209,232.00968799999976,2919.75640656
57,841.6759260293329,232.16500000000002,2919.6764065600005
58,856.2264971792029,233.04218799999973,2919.56921904
59,870.8347186125029,233.745,2919.72921904
60,885.385092017139,233.74906239999984,2919.8628128
61,900.5813227407052,233.43031279999997,2919.7828127999996
62,915.1325704090268,232.32218799999973,2919.6764065600005
63,929.74056036619,232.6846879999997,2919.56921904
64,944.9933662203985,232.77125040000016,2919.48921904
65,959.4858600881853,232.85812559999994,2919.3828128000005
66,974.0369574809156,233.79656239999983,2919.03640656
67,989.2895601099153,233.03125040000018,2918.71640656
68,1003.7820218816778,233.03125040000018,2918.60921904
69,1018.3337075002055,233.03125040000018,2918.2628128
70,1033.5284983733727,233.03125040000018,2917.9164065600003
71,1048.0216297264851,233.03125040000018,2917.5692190399996
72,1062.571505909873,233.03125040000018,2917.24921904
73,1077.8237848477584,233.03125040000018,2916.9028128
74,1092.259066364335,233.34968799999976,2916.5564065599997
75,1106.809613222722,232.35281279999995,2916.2364065600004
76,1122.0040778856637,233.03125040000018,2915.88921904
77,1136.4976800729783,232.95281279999998,2915.7828127999996
78,1151.7507089747378,232.88843760000017,2915.9428128
79,1166.184719030789,232.76937519999979,2915.83640656
80,1180.7351152408373,233.39406239999983,2915.99640656
81,1195.8725910710782,232.99593760000016,2916.15640656
82,1210.4227435639332,233.03125040000018,2916.28921904
83,1225.6167991513648,233.03125040000018,2916.44921904
84,1240.0516058754147,232.93281279999994,2916.5828128
85,1254.5447728971048,232.83437519999978,2916.7428128
86,1269.681877607989,232.7359376000002,2916.9028128
87,1284.1741392196418,232.63750000000002,2917.0364065599997
88,1299.3112032780919,232.5390623999998,2917.1964065600005
89,1313.803344629836,233.65031279999997,2917.11640656
90,1328.9403265100118,233.17937519999978,2917.0092190399996
91,1343.4323475930578,232.3915623999998,2916.92921904
92,1357.810710508158,230.54531279999995,2916.84921904
93,1372.9474031185237,232.04656239999986,2916.7428128
94,1387.4392650499794,231.9481255999999,2916.6628128
95,1402.5182173821522,231.9481255999999,2916.5828128
96,1417.0100000906823,231.9481255999999,2916.5028128
97,1432.1465697504318,231.9481255999999,2916.4228128
98,1446.58152435573,231.9481255999999,2916.3428128
99,1461.7178871493816,231.9481255999999,2916.2628127999997
100,1476.0940682789806,231.9481255999999,2916.1828128
101,1491.2888764193776,231.9481255999999,2916.1028128
102,1505.6658870234533,231.9481255999999,2916.0492190399996
103,1520.8598282334133,231.9481255999999,2915.96921904
104,1535.2367170788784,231.9481255999999,2915.88921904
105,1550.4304934227694,232.43843760000019,2915.83640656
106,1564.8072605024645,234.38468799999973,2915.7828127999996
107,1579.943169427468,235.60281279999995,2915.7292190400003
